date,count,Long,Lat,place,remarks,user
2021/7/28,113,33.5823244,130.4319947,市営塩浜住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/2,33,33.6902752,130.4207354,市営月隈住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/4/17,1,33.6902752,130.4207354,市営六高住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/8/28,62,33.5774278,130.4732801,市営香椎浜三街区住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/5/12,2,33.5774278,130.4732801,市営香椎浜団地内,市民が駆除,東区生活環境課
2021/7/30,92,33.6102039,130.4294461,市営高見丘住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/4,43,33.6544927,130.4250071,市営高美ヶ丘住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/10/29,55,33.6534633,130.4238326,市営若宮住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/26,180,33.6447497,130.4418052,市営若宮住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/6/12,17,33.6447497,130.4418052,市営若宮住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/10,280,33.6447497,130.4418052,市営城の原住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/8/18,330,33.6503021,130.4249695,市営城浜住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/26,85,33.6503021,130.4249695,市営城浜住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/16,34,33.6503021,130.4249695,市営城浜住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/10/29,21,33.5731111,130.309106,市営千早北住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/27,108,33.6755832,130.4411005,市営千早北住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/4/1,43,33.6415705,130.4558735,市営月隈住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/6,8,33.6415705,130.4558735,市営唐原住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/8/3,113,33.6494103,130.4330096,市営八田第二住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/16,92,33.6494103,130.4330096,市営八田第二住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/6/22,1,33.5493536,130.3637171,市営千代東住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/9/10,0,33.6247526,130.404506,汐井公園,,東区維持管理課
2021/4/12,0,33.6247526,130.404506,汐井公園,,東区維持管理課
2021/8/25,0,33.6060873,130.4107573,七隈住宅,,"住宅都市局住宅管理課
（城南区施設管理事務所）"
2021/9/10,0,33.6092325,130.4328504,社領南公園,,東区維持管理課
2021/4/12,3,33.6092325,130.4328504,社領南公園,殺虫剤で駆除,東区維持管理課
2021/9/10,0,33.6136244,130.4339648,社領北公園,,東区維持管理課
2021/4/12,0,33.6136244,130.4339648,社領北公園,,東区維持管理課
2021/11/4,2,33.6384911,130.4473656,若宮小学校,殺虫剤で駆除,"若宮小学校
教育委員会健康教育課"
2021/11/11,1,33.6384911,130.4473656,若宮小学校,殺虫剤で駆除,"若宮小学校
教育委員会健康教育課"
2021/11/18,0,33.6384911,130.4473656,若宮小学校,,"若宮小学校
教育委員会健康教育課"
2021/11/25,0,33.6384911,130.4473656,若宮小学校,,"若宮小学校
教育委員会健康教育課"
2021/4/14,38,33.6384911,130.4473656,若宮小学校,職員が駆除,東区生活環境課
2021/5/22,0,33.5501623,130.4524287,諸岡中央公園,,博多区維持管理課
2021/11/12,0,33.6482922,130.4470175,松崎西公園,,東区維持管理課
2021/4/12,0,33.6233846,130.4345067,松崎西公園,,東区維持管理課
2021/4/13,0,33.6283372,130.4344623,松崎中央公園,,東区維持管理課
2021/11/5,0,33.6369352,130.4362731,松島会館,,東区地域支援課
2021/11/5,0,33.6369352,130.4362731,松島公民館,,東区地域支援課
2021/9/30,2,33.6675435,130.4238151,照葉公民館,殺虫剤で駆除,東区地域支援課
2021/11/10,1,33.6675435,130.4238151,照葉公民館,殺虫剤で駆除,東区地域支援課
2021/11/30,0,33.6675435,130.4238151,照葉公民館,,東区地域支援課
2021/9/27,0,33.6494757,130.4221439,上月隈中央公園,,博多区維持管理課
2021/4/27,0,33.5684555,130.4632496,上月隈中央公園,,博多区維持管理課
2021/10/1,1,33.5684555,130.4632496,城浜公民館,殺虫剤で駆除,東区地域支援課
